Gene,Desc,T.stat,Adj.p
ZMAT3,"zinc finger, matrin type 3",14.91795795,7.80E-06
BTNL8,butyrophilin-like 8,-11.14400908,0.000166763
CACNB3,"calcium channel, voltage-dependent, beta 3 subunit",11.03664329,0.000166763
CRIP1,cysteine-rich protein 1 (intestinal),10.49429807,0.000197606
PSD3,pleckstrin and Sec7 domain containing 3,10.4892907,0.000197606
TTC3,tetratricopeptide repeat domain 3,10.34494261,0.000197953
PSD3,pleckstrin and Sec7 domain containing 3,10.0432539,0.00022895
ETNK1,ethanolamine kinase 1,-10.01128857,0.00022895
MDK,midkine (neurite growth-promoting factor 2),9.805402501,0.000267333
FNDC1,fibronectin type III domain containing 1,9.637039921,0.00030169
PDGFRA,"platelet-derived growth factor receptor, alpha polypeptide",-9.127249908,0.000554131
GRB10,growth factor receptor-bound protein 10,-8.885049138,0.000713583
SERPINA3,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3",-8.83225865,0.000713583
MAOA,monoamine oxidase A,-8.723480869,0.000775521
C16orf72,chromosome 16 open reading frame 72,-8.578854779,0.000894134
C11orf80,chromosome 11 open reading frame 80,8.358389379,0.001143683
L3MBTL,l(3)mbt-like (Drosophila),8.328695741,0.001143683
TMTC1,transmembrane and tetratricopeptide repeat containing 1,-8.158063878,0.001397488
IL1R2,"interleukin 1 receptor, type II",-8.060340638,0.001504816
ANTXR1,anthrax toxin receptor 1,8.028613418,0.001504816
AKAP12,A kinase (PRKA) anchor protein 12,-8.008865586,0.001504816
PHLDA3,"pleckstrin homology-like domain, family A, member 3",7.953859659,0.001563549
NSUN5B,"NOL1/NOP2/Sun domain family, member 5B",7.888292549,0.00165548
NSUN5C,"NOL1/NOP2/Sun domain family, member 5C",7.83172422,0.001657454
ECM2,"extracellular matrix protein 2, female organ and adipocyte specific",7.761825057,0.001657454
EVI1,ecotropic viral integration site 1,7.76062659,0.001657454
JHDM1D,jumonji C domain containing histone demethylase 1 homolog D (S. cerevisiae),-7.757075177,0.001657454
HCRP1,hepatocellular carcinoma-related HCRP1,7.729439954,0.001657454
RNF150,ring finger protein 150,7.722156664,0.001657454
PDE4D,"phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)",-7.717666895,0.001657454
C5orf13,chromosome 5 open reading frame 13,7.668838184,0.001732479
PLXDC1,plexin domain containing 1,7.610818437,0.001802053
ZNF423,zinc finger protein 423,7.558697762,0.001802053
TTC3,tetratricopeptide repeat domain 3,7.538238155,0.001802053
CXCL12,chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1),7.53026884,0.001802053
IL18RAP,interleukin 18 receptor accessory protein,-7.529919432,0.001802053
PTGFRN,prostaglandin F2 receptor negative regulator,7.522852867,0.001802053
MTSS1,metastasis suppressor 1,-7.513929958,0.001802053
HIST1H1T,"histone cluster 1, H1t",-7.484499334,0.001802053
IL1R2,"interleukin 1 receptor, type II",-7.470098625,0.001802053
LPPR4,plasticity related gene 1,7.468763424,0.001802053
GRB10,growth factor receptor-bound protein 10,-7.375543478,0.002009309
TSPAN11,tetraspanin 11,7.371774068,0.002009309
AASS,aminoadipate-semialdehyde synthase,-7.356528369,0.002012771
TYMS,thymidylate synthetase,7.321076636,0.002055597
ZNF33A,zinc finger protein 33A,-7.301198749,0.002055597
RFFL,ring finger and FYVE-like domain containing 1,-7.279642754,0.002055597
FAM19A2,"family with sequence similarity 19 (chemokine (C-C motif)-like), member A2",-7.278217531,0.002055597
ZNF260,zinc finger protein 260,7.266909896,0.002055597
SLC25A37,"solute carrier family 25, member 37",-7.265067757,0.002055597
CCL26,chemokine (C-C motif) ligand 26,-7.244896314,0.002082876
TM7SF3,transmembrane 7 superfamily member 3,7.230547721,0.002091388
CACNB3,"calcium channel, voltage-dependent, beta 3 subunit",7.205521008,0.002128846
SDR16C5,"short chain dehydrogenase/reductase family 16C, member 5",-7.196726252,0.002128846
FMO5,flavin containing monooxygenase 5,-7.153570236,0.002211845
PPP2R5E,"protein phosphatase 2, regulatory subunit B', epsilon isoform",7.141307429,0.002211845
CDCP1,CUB domain containing protein 1,7.140667108,0.002211845
ZNF573,zinc finger protein 573,7.102713271,0.002261994
IDI1,isopentenyl-diphosphate delta isomerase 1,-7.102146966,0.002261994
FAM107A,"family with sequence similarity 107, member A",-7.096085547,0.002261994
NUDT16,nudix (nucleoside diphosphate linked moiety X)-type motif 16,-7.072843404,0.002277742
TIMP4,TIMP metallopeptidase inhibitor 4,-7.072124815,0.002277742
